jornada,dirección,correo,teléfono,horario de atención,nombre,idx,dane
"Mañana, Tarde","Cr 77 Q Nº 45 A – 21 Sur, Sede A- Cr 77 P Bis A N° 47 A- 31 Sur, Sede B",cedjackeline8@educacionbogota.edu.co,452 4113 – 4524042 - 3002072730,8 a.m. a 1 p.m.,Colegio Jackeline (IED),1,
"Mañana, Tarde",Calle 1 Bis N°87 C 07,cedpatiobonitoii8@educacionbogota.edu.co,3043986164,Lunes a Viernes de 8:00 a.m a 5:00 pm,Colegio Manuel Zapata Olivella (IED),1,
"Mañana, Tarde",Calle 23 G No. 103-60,escdiluisangelaran9@educacionbogota.edu.co,413 30 35 – 413 29 55 - 4157505,7:30 a.m. 5:30 p.m.,Colegio Luis Angel Arango (IED),1,
"Mañana, Tarde, Nocturna",CRA 101 # 23 - 42,coldirepdecostaric9@educacionbogota.edu.co,4184076 - 4184077 - 79,8:30 am - 10:00 a.m Secretaria Académica,Colegio Costa Rica (IED),1,"111279000362, 111279000362"
Jornada única,Sede A: Carrera 84 A # 75 A - 08  //  Sede B: Cra 83 # 82A - 41,escdisanjosenorte10@educacionbogota.edu.co,2517960,Lunes a Viernes de 6:30 am  a 2:30 pm,Colegio San Jose Norte (IED),1,"111001012459, 111001012459"
"Mañana, Tarde",CL 70 A # 94 - 38,escdifloridablanca10@educacionbogota.edu.co,4 382344,L - J 8:00 a.m. a 2:00 p.m.,Colegio Floridablanca (IED),1,
Jornada única,Sede A: Carrera 76 Nº 79-40. Barrio Santa María del Lago. Teléfono 2517283. Sede B: Transversal 77 Nº 81B-91. Barrio La Palestina,,4344014,,Colegio La Palestina (IED),1,
"Mañana, Tarde, Nocturna",Calle 65 N. 112 A - 39 Barrio Villa Gladys,coltintalitoantoni10@educacionbogota.edu.co,4405465 - 4350876,6:30 a.m. a 10:00 p.m.,Colegio Antonio Villavicencio (IED),1,
"Mañana, Tarde",SEDE A: Transversal 126 # 134 - 88 SEDE B: Calle 132d #123b - 65,cedlagaitana11@educacionbogota.edu.co,6904265,Jornada Mañana: 6:20-12:20 .......... Jornada Tarde: 12:30-6:30 .......... Secretaría: 8:00 a.m. - 4:00 p.m.,Colegio La Gaitana (IED),1,
,,,,,Colegio Nueva Colombia (IED),1,
Jornada única,Carrera 131 #134-44,josemariavelaz.bogota@feyalegria.org.co,6623999 / 6623361,8:00 a.m. a 12:00 m / 2:00 p.m. a 4:30 p.m.,Colegio José María Vélaz (IED),1,
"Mañana, Tarde, Nocturna",Carrera 92 No. 146C - 63,cedsimonbolivar11@educacionbogota.edu.co,6803993,7:30 am a 12:00m y 2:00 pm a 4:00pm,Colegio Filarmónico Simón Bolívar (IED),1,"111769000174, 111769000174"
"Mañana, Tarde",Calle 135 # 53 - 13,coldianibalfernand11@redp.edu.co,2582400,LUNES A VIERNES,Colegio Aníbal Fernandez de Soto (IED),1,
"Mañana, Tarde, Jornada única",Sede A: Calle 181 #51a-31 Barrio Nueva Zelandia - Sede B: Calle 187 # 49-42 Barrio Mirandela,cednvazelandia11@educacionbogota.gov.co,6720103 - SEDE A: 3002072669    SEDE B: 3057918617,8:00 a.m. a 4:00 p.m,Colegio Nueva Zelandia (IED),1,"111769001871, 111769001871"
Jornada única,Carrera 52 # 76 - 63 Sede A - Carrera 51 Nº 78 - 88 Sede B,innalfemlorencitav12@educacionbogota.edu.co,2319958 Sede A -- 2500106 Sede B,L - V 7:00 a.m. a 12:00 m. 2:00 p.m. a 4:00 p.m.,Colegio Femenino Lorencita Villegas De Santos (IED),1,
Jornada única,Carrera 28B # 78 - 40 Barrio Santa Sofia,cedjuanfranciscob12@educacionbogota.edu.co,2401890 - 305 7923893-3046754436,7:00 a.m. a 12:30 m,Colegio Juan Francisco Berbeo (IED),1,
Jornada única,Calle 74 A No. 62-44 Barrio: Simón Bolívar,colditomascarrasqu12@educacionbogota.gov.co,2400101,8:00 a.m. a 04:00 p.m.,Colegio Tomás Carrasquilla (IED),1,"111001032255, 111001032255"
Jornada única,Cra 19 11 - 17,lnalagustinnietoca14@educacionbogota.edu.co,3706600 - 3706611,M -J 8:00 a.m. - 11:00 a.m.,Colegio Liceo Nacional Agustin Nieto Caballero (IED),1,
"Mañana, Tarde, Nocturna",KR 24 B # 16 - 03 SUR,coldiguillermoleon15@educacionbogota.edu.co,2782716 - 3610279,8:00 a.m. - 1:00 p.m. - 2:00 p.m. - 4:00 p.m,Colegio Guillermo Leon Valencia (IED) (Antonio Nariño),2,"111001011053, 111001011053"
"Mañana, Tarde",Sede A Calle 14 Sur # 14-20,escnormalmariamont15@educacionbogota.edu.co,3734881,,Escuela Normal Superior Distrital Maria Montessori (IED),2,
"Mañana, Tarde",Carrera 51 N. 16 - 64 Sur Barrio: Ciudad Montes Tercer Sector,innaldeculturapopu16@educacionbogota.edu.co,2028772 Ext 101-3002067416 Sede Administrativa,8:00 a.m. a 12 m.,Colegio De Cultura Popular (IED),2,"111001000078, 111001000078"
"Mañana, Tarde",Calle 1B N° 52 A 02,coldiluiscarlosgal16@educacionbogota.edu.co,,Lunes a Viernes de 8:00 a.m - 12:00 p.m,Colegio Luis Carlos Galan Sarmiento (IED),2,"111001065056, 111001065056"
"Mañana, Tarde, Nocturna",Calle 40 Sur No 23 - 25,colnarestrepomilla18@educacionbogota.edu.co,2053030,Martes y Jueves de 9:00 a 11:00 a.m y 2:00 a 4:00 pm,Colegio Restrepo Millan (IED),2,
"Mañana, Tarde, Nocturna",Calle 37 Sur # 23 - 51,cedbravopaez@educacionbogota.edu.co,2057376 Celular: 3187721314,L - V 8:00 a.m. a 12:00 m. / 1:00 p.m. a 5:00 p.m.,Colegio Bravo Paez (IED),2,
Jornada única,Carrera 23 N. 35 - 20 Sur,colquirogaalianza18@gmail.com,2727097,Lunes a Jueves 8:00 a.m. - 11:00 am y 2:00 pm-3:00 pm,Colegio Quiroga Alianza (IED),2,"111001012815, 111001012815"
Jornada única,Carrera 26 B # 35 B-49 Sur,colrafaeldelgadosalgero18@educacionbogota.edu.co,7271937,L - V 8:00 a.m. a 12:00 m. / 2:00 p.m. a 4:00 p.m.,Colegio Rafael Delgado Salguero (IED),2,
"Mañana, Tarde",Calle 50A sur 5C 40,cedsanagustin18@educacionbogota.edu.co,6012793580,Lunes a Viernes de 8:00 a.m - 11:00 a.m,Colegio San Agustin (IED),2,
"Mañana, Tarde",Sede A: Chircales Transversal 5 J No. 48F-69 Sur,colalfredoiriarte@gmail.com,7697178/79 - 7690358/43,Lunes a Viernes: 8:00 A 5:00 PM,Colegio Alfredo Iriarte (IED),2,
"Mañana, Tarde, Jornada única",Diagonal 48 Z Sur # 4B 10,coldianaturbay@educacionbogota.edu.co,3057911124,L - V 8:00 a.m. a 12:00 m.,Colegio Diana Turbay (IED),2,
"Mañana, Tarde",DG 71 B SUR # 18 i - 20,escdirafaeluribeur19@educacionbogota.edu.co,601 7912395 / 601 7903666,"LUNES, MIÉRCOLES Y VIERNES DE 7:30 – 11:30 AM Y DE 1:00 – 3:30 PM",Colegio Rafael Uribe Uribe (IED) Ciudad Bolívar,2,"111001014524, 111001014524"
"Mañana, Tarde, Nocturna",Calle 64 Sur N. 71 F 18,cedismaelperdomo19@educacionbogota.edu.co,7757889 – 7759068 - 3002067172,8:00 a.m. - 4:00 p.m.,Colegio Ismael Perdomo (IED),2,"111001020320, 111001020320"
"Mañana, Tarde",CARRERA 27L # 71H 46 SUR,escdiparaisomirado19@educacionbogota.edu.co,7925201,,Colegio Paraiso Mirador (IED),2,
"Mañana, Tarde",COLEGIO SIERRA MORENA IED,cedsierramorena19@educacionbogota.edu.co,3057983816 - 3057917199 - 3046754430,DE 6:30 AM A 6:15 PM,Colegio Sierra Morena (IED),2,
"Mañana, Tarde",CL 70 SUR # 56 - 45,cedciudadbolivar19@educacionbogota.edu.co,7152774 - 7157106 - 7157106,Lunes a Viernes de 8:00 a.m - 4:00 p.m,Colegio Ciudad Bolivar - Argentina (IED),2,
"Mañana, Tarde",Carrera 18 I # 69 D - 35 SUR,cedconfederacions19@educacionbogota.edu.coo,5687907,L - V 8:00 a.m. a 12:00 m. / 2:00 p.m. a 4:00 p.m.,Colegio Confederación Brisas del Diamante (IED),2,
"Mañana, Tarde",Diagonal 74 B Bis - A Sur N. 26 C - 12,coljosemarivargvila@educacionbogota.edu.co,3002069528,8:00 a.m. - 4:00 p.m.,COLEGIO JOSE MARIA VARGAS VILA IED,2,"111001107115, 111001107115"
"Mañana, Tarde",Calle 62 A Sur Nº 73 - 31 Bogotá,iedcundinamarca@educacionbogota.edu.co,,,Colegio Cundinamarca (IED),2,
"Mañana, Tarde",Cra. 18 # 70 A - 05 sur,colfannymikey@educacionbogota.edu.co,7921137 - 300 2069351,7:00 am a 5:00 pm,Colegio Fanny Mikey (IED),2,
"Mañana, Tarde",Calle 76 Sur No. 24 a 11,cedcanada19@educacionbogota.edu.co,790 35 86 / 790 07 49,Martes y Jueves 9 -12 AM y 2-4 PM,Colegio Canada (IED),3,
Jornada única,Transversal 70 D No. 60-90 Sur,secretariaensueno@chinca.org.co,3214758963,Lunes a Viernes 7:00 a.m - 3:30 p.m,Colegio El Ensueño (IED),3,
"Nocturna, Jornada única",Bogotá,coldiagustinfernan1@educacionbogota.edu.co,6710239 / 6791049 / 3002069223,Lunes a Viernes de 8:00 a.m - 2:00 p.m,Colegio Agustín Fernández (IED),3,"111001029955, 111001029955"
"Mañana, Tarde, Jornada única",AK 7 # 171 B - 26,cedfriedrichnauma1@educacionbogota.edu.co,6796109 / 6682577 Ext 102,8:00 a.m. a 12:0 m. / 2:00 p.m. 4:00 p.m.,Colegio Friedrich Naumann (IED),3,
"Mañana, Tarde, Jornada única",Sede A Cl. 166 #16C-15 Sede B Cra. 14c #164 - 75 Sede C Cra. 17 #163A-22,cedtoberin1@educacionbogota.edu.co,Sede A 6696782 Sede C 6147050,8:00- 4:00,Colegio Toberin (IED),3,"11001046957, 11001046957"
"Mañana, Tarde",Carrera 5B No. 189B-30 Barrio Buena Vista,cednvohorizonte1@educacionbogota.edu.co,6793861-6796685,8:00 a.m. - 4:00 p.m.,Colegio Nuevo Horizonte (IED),3,"111001086681, 111001086681"
Jornada única,Calle 69 # 11-27,coldisimonrodrigue2@educacionbogota.edu.co,2358681,Lunes a viernes de 8:00 a.m. a 12:00 m. y de 2:00 p.m. a 4:00 p.m.,Colegio Simón Rodriguez (IED),3,
"Mañana, Tarde, Nocturna",Carrera 5C Este No. 98A- 55,campestremonteverde@educacionbogota.edu.co,Sede A 6320241 - 3043997186 Sede B 6320242 - 3057915735,8 AM - 4 PM,Institución Educativa Distrital Campestre Monte Verde,3,
"Mañana, Tarde, Jornada única",Sede A: Calle 28 Nº 5A-06  Sede B: Calle 20 Nº 4-68,lnalpolicarpasalav3@educacionbogota.edu.co,3012312607,8:30 a.m. a 3:00 p.m.,Colegio Policarpa Salavarrieta (IED),3,"111001009834, 111001009834"
Jornada única,Carrera 7 # 33-64,extcamilotorres3@educacionbogota.edu.co,3380221,,Colegio Externado Nacional Camilo Torres (IED),3,
"Nocturna, Jornada única",Calle 3 N. 9 - 80,coldiantoniojoseur3@educacionbogota.edu.co,3012312817,8:00 a.m. - 2:00 p.m.,Colegio Antonio Jose Uribe IED,3,"111001036544, 111001036544"
Jornada única,Calle 32 A N. 3 C 36 Barrio La Perseverancia,cedmanuelelkinpat3@educacionbogota.edu.co,3383922 - 3002067156,8:00 a.m. - 3:00 p.m.,Colegio Manuel Elkin Patarroyo (IED),3,
"Mañana, Tarde",Sede Principal Carrera 7 # 24-01 Sur - Sede Primera Infancia Calle 26 Sur # 8 - 50 Barrio: Veinte de Julio,cedveintedejulio4@educacionbogota.edu.co,2721598 - 3660830- 3043999059,L-V 8:00 -12:00 a.m. 2:00- 4:30 p.m.,Colegio Veinte De Julio (IED),3,
"Mañana, Tarde, Nocturna, Jornada única",Carrera 10 D Este No. 17 B - 46 Sur,cedsancristobasu4@educacionbogota.edu.co,3002067977,L - V 6:00 a.m. a 12:00 m. / 12:15 a 6:15 p.m. /6:15 a 10:00 p.m.,Colegio Técnico San Cristobal Sur (IED),3,"111001014176, 111001014176"
"Mañana, Tarde",Calle 34 Sur # 7 A - 88,cedsanisidrosuror4@educacionbogota.edu.co,2397232,8:00 a.m. a 04:00 p.m.,Colegio San Isidro Sur Oriental (IED),3,
"Mañana, Tarde",Carrera 16 A Este #42C- 80 Sur,cedmoralbasurorie4@educacionbogota.edu.co,3632320-3646165-3676767,7:00 am - 4:30 am,Colegio Moralba Suroriental (IED),3,
"Mañana, Tarde",Cra5a Nº30a - 45sur,cedflorentinogonz4@educacionbogota.edu.co,2722011 - 2721483 - 3043999110,LUNES A VIERNES - 6:30 AM A 6:30 PM,Colegio Florentino Gonzalez (IED),3,
"Mañana, Tarde","No.18 A -, Cra. 3 Este #25 Sur 34,",coldimediamanuelit4@redp.edu.co,3332837 – 3332837,8:00 a.m. - 4:00 p.m.,Colegio Manuelita Saenz (IED),3,
Jornada única,Carrera 5 Este N°25-51 Sur,colditomasruedavar4@educacionbogota.edu.co,2060910 – 2062080,8:00 AM-5:00 PM,Colegio Técnico Tomás Rueda Vargas IED,3,
Mañana,Calle 70 Sur # 13B - 27 Este,cedjuanrey4@educacionbogota.edu.co,3654888 / 3652019,L-V 8:00 a.m. a 4:00 p.m.,Colegio Juan Rey (IED),3,
Jornada única,SEDE A: Carrera 9A n°18 - 74 Sur / SEDE B: Carrera 9A n° 22b - 30 Sur,cedrafaelnunez4@educacionbogota.edu.co,SEDE A 2784524 - 2789919 SEDE B 2390237,6:30 AM -  1:30 PM,Colegio Rafael Nuñez (IED),4,
"Mañana, Tarde, Jornada única",CALLE 74 C SUR 14-40 ESTE,coldiprovinciadequ5@educacionbogota.edu.co,3654440-3654400-3654666,8.30 am-5.00 pm,Colegio Provincia De Quebec (IED),4,"111001041556, 111001041556"
"Mañana, Tarde, Jornada única",Trv. 14 T # 70-49 Sur,coldilaaurora5@educacionbogota.edu.co,7626890 -7640000,Lunes a Viernes - 6:00 am a 6:00 pm,Colegio La Aurora (IED),4,"111001045705, 111001045705"
"Mañana, Tarde",Cra 9 A N. 103 A 17 Sur,iedusminia@educacionbogota.edu.co,7671614,8:00 a.m. - 4:00 p.m.,Colegio Usminia (IED),4,
"Mañana, Tarde","Sede A: Transversal 1 Este N° 85- 10 sur. Sede B: Calle 83 Sur Transversal 7, Este",cedelbosque5@educacionbogota.edu.co,Sede A: 7735125 - 7735126 -7734314 - 7735189 – 7734258 -7640866 Sede B: 762 0005,lunes a viernes 7:30 a.m. a 5:00 p.m.,Colegio Ofelia Uribe De Acosta (IED),4,
"Mañana, Tarde",Cra 7 N° 92 A 31 Sur,coldielvirreyjoses5@educacionbogota.edu.co,7672789,8:00 am a 5:00 pm                                                         Atención Secretaría Académica Martes y Jueves 8:00 am a 11:00 am,Colegio El Virrey Jose Solis (IED),4,
Jornada única,Calle 91 Sur N. 4 - 22 Este,bosco4@fundaciondonbosco.org,7625959 - 7620827,8:00 a.m. a 12 m.,Colegio Chuniza Fámaco IED,4,
Jornada única,Calle 96 A Sur N. 14 B 05,bosco2@fundaciondonbosco.org,7642614 / 7642615,Lunes a Jueves de 7:00 a.m. a 10:00 a.m.,Colegio San José de Usme (IED),4,
"Mañana, Tarde",Calle 95 Sur N° 14B-64 Barrio Monte Blanco,insdialuiseduardomor@educacionbogota.edu.co,7688132 / 7671628,,Colegio Luis Eduardo Mora Osejo (IED),4,"11100198861, 11100198861"
"Mañana, Tarde, Jornada única",Calle 111 A Sur # 4B - 07 Este,iedeumendoza@educacionbogota.edu.co,7673344 / 7688322,L - V 8:00 a.m. 12:00 m.,Colegio Eduardo Umaña Mendoza (IED),4,
"Mañana, Tarde, Jornada única",Carrera 11 # 65 C - 50 Sur,colpaulofreire@educacionbogota.edu.co,7647442 / 7391175,8:00 a.m. - 4:00 p.m.,Colegio Paulo Freire (IED),4,
Jornada única,Carrera 2A # 74 B bis - 00 Sur,escdielcortijo5@educacionbogota.edu.co,7640384 / 7629050 / 3043991669,L-J 8:00 a.m. a 4:00 p.m.,Colegio El Cortijo - Vianey (IED),4,
"Mañana, Tarde, Nocturna",Calle 76 A Sur N. 1 D 59 Este,cedalmirantepadil5@educacionbogota.edu.co,3002073423,8:00 a.m. - 4:00 p.m.,Colegio Almirante Padilla (IED),4,"111850001428, 111850001428"
"Mañana, Tarde",Cra 6H Este # 114 - 88 Sur,escdipuertaalllano5@educacionbogota.edu.co,773 5522 - 773 3554,6:20 am - 6:20 pm,Colegio Ciudad De Villavicencio (IED),4,
"Mañana, Tarde",SEDE A: CARRERA 14 B Nº 91 – 20 SUR SEDEB: CALLE 73 C sur # 14 W 03.,escditenerife5@educacionbogota.edu.co,2006724,,Colegio Tenerife Granada Sur IED,4,"211850000787, 211850000787"
"Mañana, Tarde",SEDE A: Carrera 4 Este Nº 65 – 31 Sur Barrio La Fiscala - SEDE B: Calle 56 A Sur 3A-14 barrio El Danubio - SEDE C: Carrera 5 B Este 64-80 Sur barrio La Fiscala Alta.,fabiolozanosimonelli@gmail.com,7621132 / 7621084 Sede A - 7692604 Sede B - 7647342 Sede C,Lunes a Viernes de 8:00 a.m - 5:00 p.m,Colegio Fabio Lozano Simonelli IED,4,
"Mañana, Tarde, Nocturna",Carrera 55 # 49 - 25 Sur,coldivenecia6@educacionbogota.edu.co,2307050 / 7102815,L - V 7:00 a.m. a 12:00 m. 2:00 p.m. a 4:00 p.m.,Colegio Venecia (IED),4,
"Mañana, Tarde",Calle 47 Sur N° 19 A – 03. Barrio Santa Lucía,cedbernardojarami18@educacionbogota.edu.co,2795386,7:30 a.m. a 5:00 p.m.,Colegio Bernardo Jaramillo (IED),4,"111001032450, 111001032450"
"Mañana, Tarde, Jornada única",Cll. 67B Sur No. 63-15,cedisladelsol6@educacionbogota.edu.co,7131213 / 7132418,Lunes a Viernes de 8:00 a.m - 4:00 p.m,Colegio Isla Del Sol (IED),4,
"Mañana, Tarde","Calle 58 Sur, Nº 19B - 67",ceddianaturbay6@educacionbogota.edu.co,279 35 85,,Colegio San Benito Abad (IED),4,
"Mañana, Tarde, Nocturna",CR 77 L # 65 J - 73 sur,cedidsanpablobosa7@educacionbogota.edu.co,7757545 - 7765276 - 7750283,"Lunes, Martes, Jueves y Viernes de 8:00 a.m - 12:00 p.m. y 2:00 p.m - 4:00 p.m.",Colegio CEDID San Pablo,5,
"Mañana, Tarde, Nocturna",Calle 56 SUR # 72 G - 20,cednvochile7@educacionbogota.edu.co,7806307 / 7824775 / 7878247,L - V 7:00 a.m. a 12:00 m. 2:00 p.m. a 4:00 p.m.,Colegio Nuevo Chile (IED),5,
"Mañana, Tarde",Sede A: Calle 52A Sur No. 87D-45 – Barrio Brasilia - Bosá - Sede B: Cra. 87J No. 55-08 sur - Tel: 7851627 Sede B (Primer Infancia): Calle 54C sur No. 87K-21 Tel: 7832178 Sede C: Calle 52 A Sur 87D-40,cedbrasiliabosa7@educacionbogota.edu.co,7301450,Lunes a Viernes 8:00 am. - 4:30 pm.,Colegio Brasilia - Bosa (IED),5,
"Mañana, Tarde",Calle 73 B Sur N. 78 a Bis 15,cedllanooriental7@educacionbogota.edu.co,7808114,7:00 a.m. a 4:30 p.m.,Colegio Llano Oriental (IED),5,
"Mañana, Tarde",Carrera 86 N° 74 - 00 sur Bosa San Pedro,iedalfonsoreyesechan@educacionbogota.edu.co,,"martes, miércoles y jueves de 8:00 am a 11:00 am y de 2:00 pm a 4:00 pm.",Colegio Alfonso Reyes Echandia (IED),5,"111001104299, 111001104299"
"Mañana, Tarde",ÚNICA SEDE: Calle 59 B No. 87B-02 Sur,cedbosanova7@educacionbogota.edu.co,7839623 -7846415 - 3043993437,L-V 8:00 a.m. - 5:00 p.m.,Colegio Bosanova (IED),5,
"Mañana, Tarde",Calle 5A Sur # 88B-08 Barrio: Patio Bonito III,coldidarioechandia8@educacionbogota.edu.co,,8:00 a.m. a 5:00 p.m.,Colegio Dario Echandia (IED),5,
"Mañana, Tarde, Nocturna",Carrera 78 No. 30-35 Sur,coldilaamistad8@educacionbogota.edu.co,2643189 - 2643169,DANE 111001011690 NIT. 860532576-3,Colegio La Amistad (IED),5,
"Mañana, Tarde, Jornada única",Carrera 79 C N° 41B 51 Sur,cedsanpedroclaver8@educacionbogota.edu.co,4516689,8:00 am a 4:00 pm (secretaria),Colegio San Pedro Claver (IED),5,
"Mañana, Tarde",Diagonal 2d #79b-83 Sur. Super manzana 12 A,cedisabelii8@educacionbogota.edu.co,6012928295,Jornada Mañana 6:30 A.M a 12:30 P.M Jornada Tarde 12:30 a 6:30 P. M,COLEGIO ISABEL II (IED),5,"111001015601, 111001015601"
"Mañana, Tarde",Carrera 72 I # 42 F - 54 SUR,escdilachucua8@educacionbogota.edu.co,7411836 / 3043986103,L - V 8:00 a.m. a 4:00 p.m,Colegio La Chucua (IED),5,
"Mañana, Tarde",KR 74 B # 38 A - 33 Sur,cedbasjohnfkenned8@educacionbogota.edu.co,2647376 - 2650770,De Lunes a Viernes de 8:00 a.m. - 4:30 p.m.,COLEGIO JOHN F KENNEDY (IED),5,
"Mañana, Tarde",Carrera 78C No. 8A - 43,cednvacastilla8@educacionbogota.edu.co,4126626,"Secretaría: Lunes, Miércoles y Viernes de 8:00am a 5:00pm Jornada Continua",Colegio Castilla (IED),5,
"Mañana, Tarde",Sede A: Carrera 77K Bis A No 50-26 sur Sede B. Calle 49 Sur No 78-35,cedvillarica8@educacionbogota.edu.co,453 6063 - 2995148 - 320 3740324,Martes y Jueves de 8:00am a 11:00am y 1:00pm a 4:00pm,Colegio Villa Rica (IED),5,
"Mañana, Tarde",Calle 38 No 89-81 sur,cedrodrigodetrian8@redp.edu.co,452 0575,630 am-630 pm,Colegio Instituto Técnico Rodrigo De Triana (IED),5,
"Mañana, Tarde",KR 93 A # 42 A - 37 SUR,ceddindalito8@educacionbogota.edu.co,3002069372,L-V 6:00 a.m. a 12:00 m. / 12:15 p.m. a 6:15 p.m.,Colegio Eduardo Umaña Luna (IED),5,
Jornada única,Calle 42 F Sur Nº88A - 25,colherndurandussan@educacionbogota.edu.co,3012313091 / 4516619 / 4544908 / 4544903,RECUERDE AGENDAR SU CITA. LUNES A VIERNES DE 8:00 AM - 12:00 PM,Colegio Hernando Duran Dussan (IED),5,
"Mañana, Tarde",Carrera 87 A No 6 A 23 Sede A,coldigabemjia@educacionbogota.edu.co,4505733,,Colegio Gabriel Betancourt Mejia (IED),5,
"Mañana, Tarde",Calle 11 B # 80 B - 61,colgeneralgustavoroj@educacionbogota.edu.co,2923536 / 2921144 / 2921272 / 2921106,L - V 7:00 a.m. a 4:00 p.m.,Colegio General Gustavo Rojas Pinilla (IED),5,
"Mañana, Tarde",Cra 90A # 46-50 Sur,colnelsonmandela@educacionbogota.edu.co,7833752 - 7833690,8:00 a.m. a 11:00 a.m. - 2:00 p.m. a 4:00 p.m.,Colegio Nelson Mandela (IED),5,
Jornada única,Carrera 80b #6-71,col.emma.reyes@educacionbogota.edu.co,310 2967796,7:00 am- 3:00 pm,COLEGIO EMMA REYES (IED),6,"111001800554, 111001800554"
